ID	State FIP	County FIP 	Median Home Value	Median Home Value Margin of Error	Median Gross Rent	Median Gross Rent Margin of Error	Total Housing Units	Total Margin of Error	Total Occupied Housing Units	Occupied Margin of Error (percent)	Total Vacant Housing Units	Vacant Margin of Error (percent)	Latitude	Longitude
889	19	197	119600	6832	790	46	6278	30	5353	190	925	190	+42.7330073	-093.7347352
890	20	001	107600	9605	720	62	6077	42	5011	201	1066	197	+37.8842285	-095.3009448
891	20	003	171400	21801	853	171	3586	22	3208	119	378	118	+38.2151139	-095.2920464
892	20	005	145700	14278	765	131	6817	24	5735	259	1082	257	+39.5325441	-095.3133975
893	20	007	97000	17578	830	27	2480	82	1828	127	652	113	+37.2229059	-098.6850520
894	20	009	126400	11964	761	45	12383	62	10380	330	2003	329	+38.4812394	-098.7678374
895	20	011	113800	7418	752	47	6756	29	5840	205	916	200	+37.8560997	-094.8509284
896	20	013	118100	8559	646	98	4478	37	3794	154	684	155	+39.8259308	-095.5699047
897	20	015	217600	6849	956	44	27485	123	25338	398	2147	396	+37.7736487	-096.8388402
898	20	017	109700	14608	825	123	1388	29	1147	74	241	66	+38.2994749	-096.5940289
899	20	019	65500	7791	708	76	1975	16	1356	96	619	94	+37.1542592	-096.2453962
900	20	021	100100	8948	799	55	9129	26	7887	231	1242	230	+37.1693922	-094.8456975
901	20	023	125900	22222	656	95	1455	21	1210	73	245	67	+39.7899014	-101.7273171
902	20	025	87600	7697	789	76	1039	68	788	70	251	54	+37.2338311	-099.8138686
903	20	027	155900	9749	937	87	3944	23	3522	136	422	133	+39.3449643	-097.1688527
904	20	029	100000	8142	769	64	4467	56	3819	168	648	160	+39.4873286	-097.6413898
905	20	031	157400	16736	836	87	3998	42	3545	109	453	103	+38.2364502	-095.7291373
906	20	033	69600	16457	692	96	1016	81	824	86	192	56	+37.1814417	-099.2512929
907	20	035	120900	7871	809	47	15682	42	13387	380	2295	374	+37.2345068	-096.8372468
908	20	037	132600	12050	849	34	18126	45	15838	311	2288	305	+37.5058215	-094.8538967
909	20	039	89500	12973	676	93	1634	15	1327	79	307	83	+39.7835420	-100.4597084
910	20	041	146800	10781	901	103	8789	30	8016	196	773	189	+38.8677353	-097.1579434
911	20	043	135200	20627	776	53	3373	36	2724	130	649	126	+39.7885021	-095.1472253
912	20	045	309400	10713	1099	33	53675	67	50406	600	3269	605	+38.8964168	-095.2909475
913	20	047	70900	7531	740	96	1549	20	1162	62	387	62	+37.8835945	-099.3047457
914	20	049	68500	12218	552	38	1491	16	999	71	492	68	+37.4560259	-096.2446421
915	20	051	216300	12126	943	68	13287	31	12251	259	1036	257	+38.9145967	-099.3173133
916	20	053	114900	12072	708	44	3127	19	2453	108	674	108	+38.7008451	-098.2053552
917	20	055	201400	11156	1048	44	14355	39	13229	257	1126	250	+38.0498075	-100.7399674
918	20	057	151100	13824	1010	63	12743	29	11796	245	947	244	+37.6885096	-099.8847435
919	20	059	198700	14900	1042	41	11310	31	10409	275	901	273	+38.5580187	-095.2789618
920	20	061	172700	13229	1104	30	15939	47	14158	327	1781	343	+39.0021387	-096.7680996
921	20	063	118400	7971	705	130	1331	78	1168	94	163	42	+38.9172385	-100.4873598
922	20	065	89900	13357	734	26	1415	30	1191	70	224	61	+39.3549716	-099.8798939
923	20	067	110300	26730	718	14	2933	13	2379	164	554	161	+37.5475370	-101.2993622
924	20	069	206000	26376	808	93	2354	18	2136	72	218	72	+37.7445134	-100.4517163
925	20	071	115200	23487	794	423	659	53	541	53	118	43	+38.4804041	-101.8059697
926	20	073	88700	10025	715	116	3666	22	2666	138	1000	142	+37.8793472	-096.2417321
927	20	075	115800	14362	909	454	1014	121	757	117	257	78	+37.9952438	-101.7936887
928	20	077	83800	13537	690	46	3020	24	2206	120	814	114	+37.1881840	-098.0665901
929	20	079	180300	11188	900	51	14656	39	13700	254	956	258	+38.0501436	-097.4367065
930	20	081	165100	21567	830	186	1546	12	1403	46	143	45	+37.5549790	-100.8799515
931	20	083	101600	23695	941	101	823	68	697	66	126	35	+38.0874927	-099.8984067
932	20	085	207300	10743	814	85	5638	25	5013	185	625	184	+39.4110963	-095.7944922
933	20	087	216900	9772	835	64	8038	31	7412	177	626	174	+39.2396440	-095.3753140
934	20	089	64600	20930	608	27	1761	14	1317	77	444	73	+39.7770053	-098.2226185
935	20	091	391200	3069	1434	16	259655	181	249531	1006	10124	940	+38.8839065	-094.8223295
936	20	093	200900	32570	1056	98	1578	32	1427	75	151	66	+37.9944614	-101.3081363
937	20	095	111100	18062	846	60	3685	26	3166	134	519	138	+37.5529509	-098.1445285
938	20	097	155300	13823	762	36	1153	17	955	55	198	51	+37.5612311	-099.2865389
939	20	099	94600	7153	746	38	9510	30	8078	227	1432	218	+37.1914676	-095.2974732
940	20	101	127100	66624	590	470	878	72	709	82	169	60	+38.4812863	-100.4661853
941	20	103	282900	9484	1219	61	31865	121	30164	403	1701	369	+39.1895108	-095.0389770
942	20	105	96900	8588	634	26	1668	11	1278	79	390	80	+39.0472801	-098.2142837
943	20	107	173600	14994	691	48	5222	51	4348	179	874	174	+38.2165494	-094.8449321
944	20	109	117900	9594	840	69	1369	14	1241	56	128	54	+38.9132702	-101.1574016
945	20	111	150600	7373	817	34	15027	76	13481	302	1546	287	+38.4554034	-096.1616407
946	20	113	211200	7894	916	62	13176	41	12162	245	1014	239	+38.3958120	-097.6474893
947	20	115	124200	10682	727	23	5693	29	4750	179	943	179	+38.3596474	-097.1027707
948	20	117	127700	14326	690	37	4751	30	4176	130	575	128	+39.7827091	-096.5212426
949	20	119	148900	17630	790	46	1898	69	1502	102	396	76	+37.2438862	-100.3600936
950	20	121	287700	15386	1107	67	14262	31	13738	175	524	175	+38.5667718	-094.8329626
951	20	123	133800	32609	604	114	3116	21	2680	94	436	99	+39.3930256	-098.2073621
952	20	125	101700	8675	761	38	15538	31	12880	346	2658	341	+37.1895369	-095.7424028
953	20	127	129600	19676	724	32	2995	18	2550	140	445	139	+38.6882040	-096.6514482
954	20	129	96100	7109	632	221	1310	12	972	101	338	99	+37.1852495	-101.8095163
955	20	131	217200	14110	774	131	4512	21	4031	120	481	122	+39.7910427	-096.0053805
956	20	133	111300	10087	681	32	7219	26	6464	202	755	199	+37.5642832	-095.3156822
957	20	135	89700	15095	538	63	1440	66	1161	58	279	57	+38.4804369	-099.9087452
958	20	137	101500	20642	609	92	2450	19	2000	156	450	158	+39.7838666	-099.8992352
959	20	139	156800	8090	785	22	7337	39	6432	153	905	148	+38.6502149	-095.7082554
960	20	141	86400	5654	595	44	2031	25	1579	67	452	62	+39.3482608	-098.7679416
961	20	143	166000	8615	809	96	2693	25	2408	82	285	77	+39.1379632	-097.6548025
962	20	145	93000	15501	795	86	3057	26	2391	165	666	163	+38.1814768	-099.2347717
963	20	147	96500	6175	672	87	2790	20	2273	98	517	100	+39.7845058	-099.3421498
964	20	149	245900	11263	924	105	10214	44	9381	270	833	265	+39.3821868	-096.3371126
965	20	151	114600	7151	802	61	4364	32	3468	185	896	177	+37.6475943	-098.7401199
966	20	153	103800	13665	817	274	1370	15	1170	52	200	50	+39.7861975	-101.0767378
967	20	155	132500	11485	863	27	28274	120	25592	459	2682	432	+37.9481849	-098.0783463
968	20	157	75600	10790	664	41	2661	28	1996	108	665	98	+39.8289061	-097.6508830
969	20	159	104600	7916	753	74	4384	41	3714	157	670	146	+38.3471776	-098.2014154
970	20	161	237100	11412	1046	38	30755	82	27695	467	3060	457	+39.2912101	-096.7274879
971	20	163	89000	20079	676	117	2635	23	2136	103	499	107	+39.3460064	-099.3244921
972	20	165	83600	7015	711	127	1679	63	1387	85	292	77	+38.5235962	-099.3091835
973	20	167	119000	16621	805	97	3674	14	3100	146	574	148	+38.9160397	-098.7709489
974	20	169	179600	6264	961	32	24157	41	22523	353	1634	353	+38.7918043	-097.6514783
975	20	171	160000	15001	685	319	2334	83	2289	116	45	73	+38.4818768	-100.9063604
976	20	173	203300	3353	998	16	227638	171	206768	1311	20870	1241	+37.6810450	-097.4610535
977	20	175	136500	21591	905	62	8308	33	7257	261	1051	256	+37.1809599	-100.8552566
978	20	177	180900	4873	1000	30	81075	125	75458	597	5617	581	+39.0418053	-095.7556640
979	20	179	167200	24762	689	45	1155	18	987	57	168	56	+39.3505465	-100.4412278
980	20	181	136700	25431	913	82	2936	32	2449	149	487	153	+39.3513521	-101.7198590
981	20	183	94100	9616	635	75	2024	21	1578	85	446	85	+39.7846603	-098.7854295
982	20	185	97600	12281	710	47	2093	16	1579	92	514	89	+38.0356303	-098.7198888
983	20	187	67800	22772	705	71	1029	122	856	110	173	63	+37.5659319	-101.7893829
984	20	189	129300	28373	927	81	2265	25	1888	124	377	127	+37.2017002	-101.3172684
985	20	191	135100	14398	825	129	10414	47	8970	203	1444	204	+37.2366617	-097.4933519
986	20	193	172700	16455	752	90	3575	33	3139	161	436	158	+39.3577126	-101.0833859
987	20	195	120900	9894	720	90	1709	62	1367	75	342	76	+38.9213022	-099.8654230
988	20	197	177300	14601	780	124	3136	40	2684	113	452	105	+38.9551537	-096.2012619
989	20	199	105000	20562	601	59	717	50	599	55	118	35	+38.9266259	-101.7711031
990	20	201	117100	6751	562	30	2714	23	2373	84	341	78	+39.7767142	-097.0956108
991	20	203	99300	37852	942	127	920	79	824	80	96	58	+38.4819222	-101.3474341
992	20	205	93500	6580	736	74	4493	29	3517	197	976	198	+37.5585146	-095.7451749
993	20	207	81200	16442	618	20	1845	16	1254	82	591	79	+37.8881929	-095.7584691
994	20	209	172300	4446	1122	23	68803	140	61562	603	7241	570	+39.1153842	-094.7630866
995	21	001	150800	14422	771	49	8648	28	7136	263	1512	261	+37.1055589	-085.2813796
996	21	003	192300	11453	844	76	9275	25	8035	252	1240	249	+36.7507703	-086.1924580
997	21	005	225100	8884	927	35	10326	37	9653	246	673	248	+38.0053963	-084.9864171
998	21	007	145800	17180	817	147	3702	27	3209	123	493	120	+37.0513234	-089.0103673
999	21	009	178000	7848	796	36	20283	39	18017	339	2266	342	+36.9628048	-085.9321078
1000	21	011	129800	14799	659	81	5499	22	4698	210	801	213	+38.1522485	-083.7376405
1001	21	013	89000	6214	592	70	11631	24	9939	280	1692	280	+36.7289281	-083.6807180
1002	21	015	277300	6482	1373	37	53195	47	50963	530	2232	526	+38.9589002	-084.7363707
1003	21	017	229300	17967	822	48	9181	30	8134	240	1047	241	+38.2025623	-084.2098602
1004	21	019	130700	9695	849	59	21742	41	19309	401	2433	402	+38.3600029	-082.6814057
1005	21	021	209900	11819	778	37	13010	59	12045	221	965	215	+37.6181043	-084.8683523
1006	21	023	125000	21882	756	80	3860	41	3364	145	496	141	+38.6803649	-084.1152351
1007	21	025	70300	10295	548	47	6575	24	5464	196	1111	193	+37.5178069	-083.3171582
1008	21	027	156700	7537	733	85	10799	34	8069	304	2730	303	+37.7779880	-086.4329188
1009	21	029	247200	5899	987	48	33608	44	31747	383	1861	380	+37.9699453	-085.7026354
1010	21	031	111100	9438	679	76	5455	38	4567	178	888	172	+37.2070133	-086.6824707
1011	21	033	118500	9284	767	51	6064	44	5025	187	1039	201	+37.1486421	-087.8705095
1012	21	035	183200	9075	870	64	18106	35	15239	332	2867	328	+36.6209783	-088.2740857
1013	21	037	252000	7796	1145	29	42065	58	39232	440	2833	436	+38.9469811	-084.3795832
1014	21	039	120400	27287	792	183	2307	16	1865	114	442	115	+36.8571800	-088.9766140
1015	21	041	140900	32998	910	73	4693	17	4178	178	515	177	+38.6683939	-085.1240238
1016	21	043	132800	16490	740	65	12316	32	10794	290	1522	296	+38.3140935	-083.0389885
1017	21	045	136300	14351	670	45	7420	26	6482	217	938	227	+37.3219623	-084.9282195
1018	21	047	173600	9381	1040	39	29362	80	25725	345	3637	338	+36.8920592	-087.4929864
1019	21	049	205800	13304	938	31	16418	34	15055	270	1363	264	+37.9703141	-084.1451152
1020	21	051	90700	13106	724	55	8664	36	7288	291	1376	283	+37.1642726	-083.7154535
1021	21	053	122200	18044	617	73	4850	20	3854	179	996	176	+36.7272577	-085.1360977
1022	21	055	127300	24662	714	218	4346	18	3543	206	803	206	+37.3581494	-088.1050103
1023	21	057	141100	43301	523	58	3404	13	2630	191	774	190	+36.7823717	-085.3884841
1024	21	059	199900	6812	918	36	44431	87	41639	432	2792	401	+37.7316710	-087.0871390
1025	21	061	160300	13383	778	69	6449	28	5099	182	1350	182	+37.2275136	-086.2180153
1026	21	063	123500	31734	432	64	3052	17	2440	159	612	157	+38.1168826	-083.0961160
1027	21	065	119500	12843	711	55	6864	24	5975	219	889	217	+37.6924493	-083.9639825
1028	21	067	293500	5552	1164	18	148959	115	139715	787	9244	787	+38.0406777	-084.4582721
1029	21	069	134700	23415	715	62	6793	26	5859	250	934	248	+38.3678475	-083.6992045
1030	21	071	98700	8147	672	59	17505	58	14700	361	2805	368	+37.5524560	-082.7397239
1031	21	073	216600	8245	967	40	24163	62	22718	373	1445	372	+38.2349190	-084.8687863
1032	21	075	79100	14245	570	106	3158	16	2550	122	608	119	+36.5525115	-089.1876586
1033	21	077	178200	11061	832	90	3816	22	3265	148	551	145	+38.7556634	-084.8651432
1034	21	079	204900	14912	794	48	7280	21	6695	168	585	172	+37.6301619	-084.5458557
1035	21	081	209500	19378	862	39	10245	25	9224	266	1021	268	+38.6491670	-084.6259245
1036	21	083	147800	12475	775	80	16425	272	14139	399	2286	347	+36.7233435	-088.6498974
1037	21	085	164600	7557	658	37	13369	47	10129	297	3240	295	+37.4585771	-086.3440114
1038	21	087	125000	25568	610	111	5289	34	4421	215	868	206	+37.2780653	-085.5379248
1039	21	089	134000	8574	860	29	16271	74	14739	277	1532	277	+38.5635616	-082.9338199
1040	21	091	141200	17527	740	145	3928	26	3638	106	290	103	+37.8433252	-086.7927612
1041	21	093	225800	7964	971	27	48108	116	44622	649	3486	657	+37.6958356	-085.9631827
1042	21	095	73700	5865	678	31	13036	30	10731	247	2305	250	+36.8592233	-083.2214968
1043	21	097	202100	17155	765	56	8186	20	7293	220	893	219	+38.4445776	-084.3341313
1044	21	099	146000	16851	693	35	8929	63	7376	241	1553	224	+37.3058265	-085.8784426
1045	21	101	171900	9056	777	24	20151	49	18522	394	1629	394	+37.7925421	-087.5725767
1046	21	103	197900	14610	895	57	6705	27	6147	131	558	136	+38.4513829	-085.1196472
1047	21	105	115700	21139	718	62	2156	17	1731	134	425	133	+36.6758960	-088.9720844
1048	21	107	142800	10539	837	52	21001	37	18397	413	2604	412	+37.3110702	-087.5421956
1049	21	109	111500	18467	665	204	6006	26	5122	237	884	238	+37.4034585	-084.0205757
1050	21	111	248400	2496	1149	13	359710	216	331554	1638	28156	1607	+38.1895321	-085.6576243
1051	21	113	268100	15819	1124	61	21198	32	19913	367	1285	361	+37.8732908	-084.5839603
1052	21	115	120200	10642	708	57	10583	29	9040	291	1543	295	+37.8477561	-082.8301215
1053	21	117	244400	4423	1069	30	73221	56	67367	577	5854	583	+38.9305031	-084.5334381
1054	21	119	77000	11873	756	174	6680	28	5521	266	1159	262	+37.3543684	-082.9525461
1055	21	121	118700	14145	681	39	13866	32	11711	337	2155	340	+36.8885003	-083.8555508
