ID	State FIP	County FIP 	Median Home Value	Median Home Value Margin of Error	Median Gross Rent	Median Gross Rent Margin of Error	Total Housing Units	Total Margin of Error	Total Occupied Housing Units	Occupied Margin of Error (percent)	Total Vacant Housing Units	Vacant Margin of Error (percent)	Latitude	Longitude
0	01	001	207200	7252	1263	86	25039	34	22917	435	2122	440	+32.5322367	-086.6464395
1	01	003	316900	7217	1277	56	132258	70	98574	1224	33684	1222	+30.6592183	-087.7460666
2	01	005	112900	12192	688	50	11762	56	9128	308	2634	304	+31.8702531	-085.4051035
3	01	007	145700	13226	733	67	9133	98	7704	283	1429	275	+33.0158929	-087.1271475
4	01	009	175200	7515	776	37	24918	39	22180	426	2738	436	+33.9773575	-086.5664400
5	01	011	81700	17694	556	145	4579	39	3688	239	891	228	+32.1017589	-085.7172613
6	01	013	99800	7938	725	47	9885	49	7597	311	2288	313	+31.7516670	-086.6819689
7	01	015	156600	5832	826	31	53361	67	45015	664	8346	662	+33.7705162	-085.8279089
8	01	017	135800	16978	871	51	16435	28	13434	411	3001	409	+32.9155039	-085.3940321
9	01	019	179700	15464	762	63	14702	44	10192	402	4510	393	+34.0695153	-085.6542417
10	01	021	161300	10065	871	46	19839	36	17875	347	1964	345	+32.8540514	-086.7266071
11	01	023	123400	19120	543	120	7200	20	5255	267	1945	265	+31.9909539	-088.2488894
12	01	025	121700	8732	782	85	11749	26	8423	423	3326	421	+31.6855211	-087.8186244
13	01	027	156700	17782	619	145	7106	23	5820	286	1286	288	+33.2703999	-085.8635254
14	01	029	165600	13424	798	49	6874	21	5980	217	894	216	+33.6719637	-085.5161261
15	01	031	188600	7326	1018	52	24656	55	20984	409	3672	418	+31.4022580	-085.9896022
16	01	033	171000	6321	887	58	28040	44	24301	431	3739	432	+34.7031120	-087.8014569
17	01	035	105300	10972	834	37	6444	26	4417	276	2027	274	+31.4309257	-086.9887221
18	01	037	115500	15070	665	120	6058	21	4418	210	1640	210	+32.9314453	-086.2434818
19	01	039	152100	9043	746	29	18714	40	14642	411	4072	407	+31.2439873	-086.4487206
20	01	041	114000	15677	661	80	6583	29	5233	190	1350	189	+31.7303106	-086.3200384
21	01	043	199100	9727	908	52	39871	53	35347	449	4524	458	+34.1319229	-086.8692666
22	01	045	143500	11393	889	35	22968	61	19727	413	3241	412	+31.4306536	-085.6094760
23	01	047	94600	5382	733	33	18936	26	15947	416	2989	415	+32.3335263	-087.1143600
24	01	049	152700	5889	693	25	30963	79	26181	470	4782	457	+34.4609148	-085.8040207
25	01	051	223900	7157	1071	42	37323	90	32856	541	4467	528	+32.5972290	-086.1427347
26	01	053	136500	10527	766	23	16816	40	12808	467	4008	466	+31.1222867	-087.1684097
27	01	055	167100	4938	847	44	47603	49	39411	707	8192	702	+34.0476407	-086.0342629
28	01	057	125900	14825	667	88	7810	23	6255	271	1555	263	+33.7161568	-087.7642923
29	01	059	136000	14425	676	58	14002	31	11954	352	2048	351	+34.4419892	-087.8428144
30	01	061	130700	12061	784	71	12584	52	10647	358	1937	348	+31.0923822	-085.8210224
31	01	063	81200	23211	432	146	4279	21	3225	164	1054	168	+32.8444965	-087.9642005
32	01	065	127600	20454	715	105	7594	23	5642	292	1952	292	+32.7527958	-087.6230608
33	01	067	161000	11913	769	66	9215	35	7062	248	2153	243	+31.5169779	-085.2399712
34	01	069	183300	3668	945	17	50158	164	43302	462	6856	404	+31.1581831	-085.2964111
35	01	071	159500	7041	780	47	24914	82	21795	348	3119	345	+34.7641140	-085.9800556
36	01	073	240000	4979	1193	18	310789	255	269883	1816	40906	1783	+33.5534439	-086.8965359
37	01	075	114000	7350	549	47	7123	30	5086	257	2037	252	+33.7870852	-088.0874309
38	01	077	200300	8371	838	24	44936	82	39258	511	5678	521	+34.9041677	-087.6511075
39	01	079	172300	13009	753	35	15403	28	13627	271	1776	276	+34.5297760	-087.3218651
40	01	081	262200	6835	1058	37	79619	68	69436	892	10183	893	+32.6040644	-085.3530477
41	01	083	281000	9732	970	72	44354	79	40953	626	3401	632	+34.8102387	-086.9813995
42	01	085	86300	10919	710	160	4847	18	4284	160	563	159	+32.1478880	-086.6505859
43	01	087	102000	9025	734	52	9653	70	7237	245	2416	233	+32.3870267	-085.6928870
44	01	089	299200	5530	1209	22	178607	187	165031	1056	13576	1045	+34.7642377	-086.5510802
45	01	091	107400	10723	716	69	9867	20	7898	268	1969	269	+32.2475911	-087.7910910
46	01	093	106600	9344	630	74	14220	35	10614	401	3606	407	+34.1382194	-087.8815510
47	01	095	201500	8139	795	29	41762	115	36459	416	5303	411	+34.3095637	-086.3216681
48	01	097	190700	3688	1052	22	186082	135	161665	1065	24417	1100	+30.6845725	-088.1965682
49	01	099	120600	10788	666	168	10208	45	7363	309	2845	329	+31.5803531	-087.3833416
50	01	101	171900	4414	1092	21	106121	80	91381	896	14740	883	+32.2028812	-086.2044615
51	01	103	212000	6594	864	26	53905	128	49040	527	4865	544	+34.4544844	-086.8464021
52	01	105	86400	8131	592	86	3962	19	3440	169	522	170	+32.6390053	-087.2938269
53	01	107	123900	17051	648	87	8729	56	6764	290	1965	286	+33.2968003	-088.0968644
54	01	109	157600	10549	856	53	16238	38	12484	449	3754	450	+31.7986533	-085.9416076
55	01	111	181600	19254	708	68	12505	42	9271	374	3234	370	+33.2964614	-085.4640637
56	01	113	165700	10552	939	39	27711	31	23938	416	3773	415	+32.2898113	-085.1869798
57	01	115	226300	6451	1084	66	39247	52	35107	497	4140	487	+33.7194907	-086.3113273
58	01	117	326100	5771	1401	38	91995	100	86866	570	5129	568	+33.2668934	-086.6610071
59	01	119	82600	9814	775	160	6356	99	4823	259	1533	225	+32.5974811	-088.2000571
60	01	121	149200	10547	785	29	38547	64	33644	501	4903	502	+33.3693135	-086.1759302
61	01	123	158500	13093	765	33	23161	37	17076	461	6085	458	+32.8633076	-085.7996176
62	01	125	248700	6221	1037	23	104290	217	90052	907	14238	879	+33.2902197	-087.5227834
63	01	127	135900	9905	756	61	30366	43	25388	449	4978	451	+33.7915581	-087.3010936
64	01	129	159700	11944	655	215	7797	19	5963	311	1834	310	+31.4085035	-088.2124041
65	01	131	98800	14612	745	309	5334	26	3860	212	1474	212	+31.9900824	-087.3049349
66	01	133	118900	10211	803	60	13160	25	9420	326	3740	331	+34.1545665	-087.3653458
67	02	013	135500	30443	979	90	1245	110	1045	113	200	20	+55.2450437	-161.9974772
68	02	016	434700	20628	1982	160	1356	80	956	84	400	37	+51.9489640	+179.6211882
69	02	020	395900	8191	1489	38	120348	946	108597	1322	11751	825	+61.1742503	-149.2843294
70	02	050	168100	13614	1474	103	6011	43	4828	98	1183	98	+60.9291413	-160.1526246
71	02	060	245800	26538	1317	95	798	41	291	38	507	29	+58.7305457	-156.9944730
72	02	063	346200	31725	1369	80	3922	144	2861	175	1061	122	+60.4884737	-146.2030924
73	02	066	292800	30667	1089	164	2442	121	1207	102	1235	90	+62.0344790	-143.9221674
74	02	068	275000	33829	825	147	1301	69	565	60	736	59	+63.6820386	-150.0270164
75	02	070	159000	36031	1105	82	2399	32	1403	58	996	47	+59.5433255	-158.2671226
76	02	090	298200	9478	1459	45	42680	799	36359	1066	6321	729	+64.6704543	-146.4960611
77	02	100	293300	30423	1087	162	1379	117	901	108	478	78	+59.0984037	-135.5757906
78	02	105	262800	44554	1014	415	1753	100	924	90	829	56	+58.4033360	-135.8849090
79	02	110	449300	16255	1444	58	14249	38	13167	262	1082	255	+58.3729099	-134.1784454
80	02	122	323200	8421	1184	52	32836	102	24371	383	8465	397	+60.3666677	-152.3222833
81	02	130	393300	19106	1505	94	6698	37	5732	132	966	133	+55.4499378	-131.1066847
82	02	150	412300	30749	1765	322	5854	104	4640	197	1214	160	+57.7044003	-153.9183721
83	02	158	84300	9254	833	68	2346	31	1916	58	430	46	+62.2835878	-163.1901714
84	02	164	237500	69152	936	188	1336	54	324	38	1012	43	+58.1085067	-156.4134134
85	02	170	346600	4883	1299	55	51170	110	39869	376	11301	361	+62.2656263	-149.5039935
86	02	180	211200	11158	1394	172	4102	32	2816	75	1286	72	+64.7836858	-164.1889119
87	02	185	218300	20831	1254	134	2642	107	2281	121	361	65	+69.4493427	-153.4728302
88	02	188	199100	28443	1350	151	2744	38	1825	65	919	55	+67.0050655	-160.0210864
89	02	195	315100	23039	950	151	1863	119	1371	110	492	62	+57.1124581	-133.0085979
90	02	198	225300	21925	964	77	3250	99	2419	125	831	80	+55.6827733	-133.1623885
91	02	220	450300	12949	1341	99	4161	30	3440	140	721	142	+57.1932044	-135.3673965
92	02	230	435400	16868	1280	119	666	65	450	68	216	24	+59.5603794	-135.3382787
93	02	240	282000	21234	1351	208	3515	120	2497	160	1018	99	+63.8649972	-143.2186282
94	02	275	296400	30007	993	96	1303	85	976	64	327	60	+56.1807793	-132.0267878
95	02	282	219400	48517	1330	66	398	50	206	51	192	18	+60.0175079	-140.4168465
96	02	290	98500	12311	1084	114	3724	367	2296	359	1428	69	+65.3756565	-151.5781764
97	04	001	63700	3664	647	53	28997	87	21100	437	7897	438	+35.3850840	-109.4901722
98	04	003	218300	5622	995	49	59666	115	50982	672	8684	687	+31.8401287	-109.7751627
99	04	005	448000	17022	1473	62	70645	156	55118	664	15527	654	+35.8296919	-111.7737277
100	04	007	269400	14030	1030	90	32742	46	23645	605	9097	600	+33.7896177	-110.8118696
101	04	009	212000	11375	935	53	14122	37	12746	254	1376	255	+32.9318277	-109.8783103
102	04	011	158600	50022	648	76	4433	14	3591	205	842	202	+33.2388723	-109.2423231
103	04	012	135800	31047	802	46	13672	127	8959	382	4713	363	+33.7276104	-114.0388060
104	04	013	452800	1398	1708	8	1884334	536	1730696	4424	153638	4300	+33.3451756	-112.4989296
105	04	015	281000	6877	1091	28	121881	136	101973	986	19908	972	+35.7177050	-113.7496891
106	04	017	201500	9940	858	58	57230	81	40063	803	17167	798	+35.3907852	-110.3210248
107	04	019	319700	3338	1212	14	479939	359	437827	1858	42112	1733	+32.1280380	-111.7836574
108	04	021	349000	3631	1537	63	184651	196	161917	1167	22734	1175	+32.9185207	-111.3663394
109	04	023	233000	7183	829	52	19232	52	16966	329	2266	333	+31.5257330	-110.8452278
110	04	025	425200	6512	1351	45	126095	213	111157	984	14938	935	+34.6310710	-112.5772247
111	04	027	217800	5202	993	36	95200	127	79341	862	15859	858	+32.7739424	-113.9109050
112	05	001	138100	11928	843	106	8696	24	6705	228	1991	236	+34.2895697	-091.3765466
113	05	003	91900	4993	703	58	9392	23	7356	291	2036	288	+33.1908354	-091.7722672
114	05	005	174600	8342	846	37	22883	61	19348	450	3535	436	+36.2802684	-092.3299488
115	05	007	323500	6193	1277	31	122703	147	111919	1079	10784	1031	+36.3378189	-094.2562984
116	05	009	188900	12614	733	51	17459	34	15363	399	2096	395	+36.3042991	-093.0792364
117	05	011	94800	16147	689	67	5060	29	3752	164	1308	160	+33.4665491	-092.1691559
118	05	013	110700	16986	769	158	2466	32	1690	152	776	146	+33.5604604	-092.5138790
119	05	015	210400	11053	856	64	13957	26	11347	376	2610	375	+36.3373704	-093.5409718
120	05	017	89100	13400	574	113	5108	37	3965	203	1143	203	+33.2671393	-091.2971578
121	05	019	155000	11414	793	99	10029	31	8121	227	1908	231	+34.0533162	-093.1762085
122	05	021	94600	8322	707	42	7492	24	6021	218	1471	217	+36.3673021	-090.4187041
123	05	023	179800	12705	859	37	15667	73	10522	382	5145	365	+35.5936279	-092.0088982
124	05	025	137600	15333	536	146	3587	18	2931	146	656	141	+33.8932006	-092.1887141
125	05	027	152100	20215	649	67	11030	53	8409	330	2621	314	+33.2230377	-093.2328433
126	05	029	154100	9400	755	38	9703	22	8279	246	1424	244	+35.2656898	-092.6892494
127	05	031	210400	6913	958	24	48885	52	44437	650	4448	656	+35.8277285	-090.6314213
128	05	033	182800	12817	851	30	25621	53	23357	370	2264	369	+35.5829594	-094.2361928
129	05	035	160200	6495	911	46	21388	45	18203	420	3185	418	+35.1975594	-090.3051195
130	05	037	117500	19760	764	85	7586	27	6483	222	1103	223	+35.2856921	-090.7639835
131	05	039	97300	10022	627	84	3470	20	2558	147	912	145	+33.9678233	-092.6539989
132	05	041	90900	7736	718	57	5799	26	4610	207	1189	209	+33.8287519	-091.2441034
133	05	043	140800	16522	725	37	8289	28	7196	300	1093	300	+33.5872418	-091.7227781
134	05	045	232700	6567	1005	34	53650	92	49309	546	4341	535	+35.1465478	-092.3369277
135	05	047	130800	20618	719	25	7757	25	7048	198	709	200	+35.5085579	-093.8876647
136	05	049	113800	7151	626	70	6225	29	4757	242	1468	244	+36.3813225	-091.8192849
137	05	051	194300	11677	966	27	52760	71	43667	817	9093	808	+34.5788522	-093.1469323
138	05	053	161700	11773	788	76	7957	49	6978	218	979	215	+34.2855683	-092.4229794
139	05	055	169300	8382	904	34	19603	43	17994	358	1609	351	+36.1206072	-090.5663459
140	05	057	105700	12085	815	53	9642	34	7479	306	2163	311	+33.7359530	-093.6643553
141	05	059	151100	15286	768	25	14302	77	12310	358	1992	343	+34.3151767	-092.9441474
142	05	061	153900	16888	690	67	6173	30	5098	214	1075	213	+34.0830639	-093.9909315
143	05	063	142600	13680	845	30	16786	28	14638	398	2148	397	+35.7374992	-091.5599423
144	05	065	129100	16608	621	39	6739	55	5232	284	1507	271	+36.0948792	-091.9136252
145	05	067	98300	7193	668	71	7095	54	6076	214	1019	210	+35.5964674	-091.2232051
146	05	069	113400	7528	888	37	30679	106	24017	603	6662	571	+34.2772390	-091.9296730
147	05	071	135300	16337	728	54	11555	25	10316	265	1239	268	+35.5733586	-093.4663223
148	05	073	81000	13584	755	72	3940	18	2622	183	1318	180	+33.2406294	-093.6115140
149	05	075	98900	5854	697	64	7644	37	6613	165	1031	164	+36.0410983	-091.1011529
150	05	077	75300	13239	667	93	3694	33	2690	195	1004	188	+34.7795048	-090.7797172
151	05	079	108000	12562	744	43	4390	92	3592	211	798	172	+33.9563846	-091.7423550
152	05	081	113500	11580	697	161	6059	33	4820	284	1239	275	+33.7019411	-094.2362871
153	05	083	139900	10882	745	29	9759	28	8521	269	1238	272	+35.2186538	-093.7209102
154	05	085	193600	6119	1025	51	30884	63	28554	441	2330	427	+34.7551137	-091.8941320
155	05	087	178100	29801	729	38	7744	23	6463	253	1281	251	+36.0125452	-093.7240531
156	05	089	163300	9374	795	41	9749	31	7664	284	2085	282	+36.2666636	-092.6785765
157	05	091	153900	13559	892	47	19844	47	16359	392	3485	395	+33.3055054	-093.9015018
158	05	093	122500	8206	830	35	19133	37	15452	425	3681	431	+35.7669437	-090.0522072
159	05	095	88700	5437	614	42	3829	14	2790	160	1039	162	+34.6795117	-091.2033099
160	05	097	151900	28396	636	87	5485	40	3715	213	1770	212	+34.5456557	-093.6641530
161	05	099	83300	9088	869	165	4308	29	3251	244	1057	240	+33.6666991	-093.3050716
162	05	101	169300	13595	617	65	4099	18	3179	179	920	181	+35.9107423	-093.2158984
163	05	103	102100	13159	764	98	11869	57	8624	337	3245	336	+33.5911684	-092.8784131
164	05	105	130200	21813	805	130	4972	40	4094	178	878	189	+34.9463629	-092.9268773
165	05	107	78200	15001	737	84	8355	20	6023	273	2332	274	+34.4236874	-090.8555931
166	05	109	121600	10067	686	64	5324	24	4082	188	1242	189	+34.1581907	-093.6586589
167	05	111	103000	8143	619	80	10449	28	8792	290	1657	293	+35.5688702	-090.6811037
168	05	113	138400	17969	711	61	9643	27	7898	286	1745	279	+34.4909604	-094.2308942
169	05	115	170100	6487	859	34	27156	44	24348	511	2808	511	+35.4565570	-093.0268181
170	05	117	96400	12924	625	52	4086	17	3256	150	830	150	+34.8311162	-091.5536205
171	05	119	214700	4460	1080	18	193408	125	172409	1380	20999	1372	+34.7703106	-092.3129960
172	05	121	130600	16947	674	63	8656	37	7334	231	1322	233	+36.3412985	-091.0284409
173	05	123	90900	7692	779	54	9570	88	7783	327	1787	311	+35.0228383	-090.7515058
174	05	125	221200	6282	1033	45	52934	85	50203	460	2731	448	+34.6485246	-092.6744630
175	05	127	115000	13574	722	95	4862	14	3985	222	877	223	+34.8588693	-094.0636413
176	05	129	110000	15688	606	163	4721	21	3197	204	1524	198	+35.8963868	-092.6958884
177	05	131	176200	6621	886	29	57470	126	52181	596	5289	598	+35.1969808	-094.2749889
178	05	133	117600	13156	751	67	6791	100	5622	295	1169	262	+33.9948773	-094.2432792
179	05	135	105100	9782	766	89	9525	29	6856	260	2669	264	+36.1733989	-091.4710689
180	05	137	171600	18417	626	83	6825	12	5262	313	1563	314	+35.8570011	-092.1404819
181	05	139	120900	7707	847	37	18649	38	15002	384	3647	381	+33.1682186	-092.5981447
182	05	141	135700	14910	722	120	9725	26	7432	318	2293	317	+35.5829532	-092.5159757
183	05	143	298400	6386	1071	23	105461	83	97184	901	8277	896	+35.9780010	-094.2172695
184	05	145	163600	5466	850	30	33900	66	29629	598	4271	582	+35.2551175	-091.7530339
185	05	147	106500	13538	613	36	3256	30	2692	113	564	112	+35.1927768	-091.2445353
186	05	149	143600	13989	735	84	9312	32	8323	189	989	185	+34.9977133	-093.4083032
187	06	001	1090100	6313	2357	16	637212	385	598246	1734	38966	1728	+37.6471385	-121.9124880
188	06	003	590200	75193	-666666666	-222222222	1558	100	435	74	1123	96	+38.6217831	-119.7983522
189	06	005	449800	13374	1421	96	19019	49	16091	439	2928	438	+38.4435493	-120.6538580
190	06	007	424700	6679	1414	26	92813	113	83312	819	9501	840	+39.6653362	-121.6032086
191	06	009	457200	13131	1625	146	27683	40	18437	647	9246	643	+38.1910682	-120.5541065
192	06	011	393400	24633	1157	69	8211	359	7512	369	699	180	+39.1777385	-122.2375629
193	06	013	866800	6426	2375	22	429260	163	414417	1118	14843	1077	+37.9194790	-121.9515431
194	06	015	342000	17032	1233	64	11230	40	9522	317	1708	318	+41.7499033	-123.9809983
195	06	017	679900	12105	1715	65	94653	60	76185	785	18468	777	+38.7856116	-120.5342245
196	06	019	388800	3630	1392	16	344894	170	324702	1025	20192	1043	+36.7610058	-119.6550193
197	06	021	352400	16119	1120	85	11073	30	9810	287	1263	287	+39.6025462	-122.4016998
198	06	023	446900	8723	1287	52	62883	61	54922	632	7961	630	+40.7066554	-123.9261757
199	06	025	309600	8398	1056	30	58044	117	49644	655	8400	658	+33.0408143	-115.3554001
200	06	027	348700	43595	1189	112	9524	111	8040	209	1484	193	+36.5621604	-117.4042092
201	06	029	338300	2944	1300	21	306999	246	284931	1239	22068	1262	+35.3466288	-118.7295064
202	06	031	324300	7846	1331	49	46986	126	44052	410	2934	403	+36.0724780	-119.8155301
203	06	033	324300	13839	1368	81	34400	49	26940	631	7460	616	+39.1080094	-122.7452171
204	06	035	265300	12020	1000	100	12231	84	9247	313	2984	298	+40.7152866	-120.6212225
205	06	037	834200	2194	1954	6	3650466	972	3416449	5011	234017	5084	+34.1963983	-118.2618616
206	06	039	393200	7593	1390	42	51015	65	45379	608	5636	606	+37.2098213	-119.7498023
207	06	041	1507300	27346	2668	83	112116	118	103018	725	9098	725	+38.0513667	-122.7463958
208	06	043	387900	21367	1305	164	9836	42	7508	301	2328	307	+37.5743432	-119.9117215
209	06	045	512200	19774	1317	51	41675	71	34842	626	6833	622	+39.4323876	-123.4428811
210	06	047	391800	5618	1343	27	90872	70	86055	548	4817	555	+37.1948063	-120.7228019
211	06	049	224700	19423	836	48	4764	14	3267	180	1497	176	+41.5929185	-120.7183704
212	06	051	639400	53544	1629	211	13676	31	5744	379	7932	380	+37.9158363	-118.8751668
213	06	053	781000	13801	2055	32	145469	143	132489	685	12980	677	+36.2401044	-121.3155781
214	06	055	869500	15451	2237	56	55817	2430	49763	2617	6054	550	+38.5070999	-122.3259045
215	06	057	621800	12667	1677	96	54309	83	42865	719	11444	701	+39.2975082	-120.7713429
216	06	059	962600	4214	2434	13	1146169	308	1082960	2606	63209	2660	+33.6756872	-117.7772068
217	06	061	688100	5556	2069	44	179266	148	157954	803	21312	820	+39.0620323	-120.7227181
218	06	063	360200	19837	1194	85	14921	29	8054	342	6867	344	+39.9922953	-120.8243709
219	06	065	557300	2765	1901	17	869414	362	775335	2121	94079	2218	+33.7298275	-116.0022389
220	06	067	534200	3984	1790	12	598385	452	571057	1538	27328	1556	+38.4501363	-121.3443291
221	06	069	793400	17094	1992	113	21322	40	20561	201	761	190	+36.6116507	-121.0858108
222	06	071	505000	4319	1801	15	743886	278	674915	1558	68971	1565	+34.8566615	-116.1815707
223	06	073	854700	3996	2246	11	1250641	516	1171278	2902	79363	2892	+33.0236041	-116.7761174
224	06	075	1394500	20642	2476	30	414602	403	363970	1953	50632	2063	+37.7272391	-123.0322294
225	06	077	530700	6613	1734	23	260151	238	245250	1175	14901	1099	+37.9349815	-121.2722440
226	06	079	824700	12237	1992	45	125669	104	109503	968	16166	969	+35.3881891	-120.4488974
227	06	081	1559600	16159	2922	40	287184	144	264419	1253	22765	1282	+37.4146725	-122.3715457
228	06	083	790700	17571	2131	35	160592	195	149608	835	10984	746	+34.5366774	-120.0383645
229	06	085	1490600	14163	2857	19	698837	290	659353	1829	39484	1910	+37.2216142	-121.6895401
230	06	087	1027500	15133	2264	51	106977	177	96898	687	10079	690	+37.0123466	-122.0077889
231	06	089	366400	6326	1317	39	80068	91	71232	703	8836	682	+40.7605142	-122.0435558
232	06	091	331900	47477	-666666666	-222222222	2120	96	1219	153	901	174	+39.5769252	-120.5219926
233	06	093	309500	11190	1091	73	23088	51	19079	344	4009	340	+41.5879861	-122.5332868
234	06	095	617700	4898	2163	31	164693	105	157512	751	7181	746	+38.2672255	-121.9395940
235	06	097	815500	6412	2158	30	207699	145	190998	984	16701	973	+38.5251824	-122.9261095
236	06	099	450100	3186	1623	24	185149	132	177874	777	7275	773	+37.5623162	-121.0028311
237	06	101	433500	7299	1439	44	34798	55	33292	325	1506	321	+39.0361898	-121.7039397
238	06	103	339600	9607	1184	71	27527	38	24788	471	2739	467	+40.1261573	-122.2322737
239	06	105	325800	23401	1073	210	8112	20	5585	264	2527	264	+40.6478582	-123.1146660
240	06	107	330100	4959	1280	25	154202	147	143195	754	11007	739	+36.2288339	-118.7810551
241	06	109	433200	14328	1302	95	31589	116	22690	468	8899	471	+38.0214344	-119.9647335
242	06	111	822700	6187	2317	25	295878	141	280360	1038	15518	1052	+34.3587477	-119.1331453
243	06	113	620700	8741	1857	42	82447	113	76693	669	5754	631	+38.6796091	-121.9027500
244	06	115	412300	10280	1311	54	30661	39	28635	382	2026	386	+39.2701300	-121.3442587
245	08	001	484200	3903	1781	21	195793	113	188730	791	7063	781	+39.8743252	-104.3318718
246	08	003	239100	21277	907	85	7241	45	6648	174	593	170	+37.5684423	-105.7880414
247	08	005	561200	5168	1891	21	269345	175	257232	1096	12113	1055	+39.6445537	-104.3317065
248	08	007	478100	22913	1432	150	9858	37	5921	348	3937	343	+37.2023952	-107.0508634
249	08	009	122900	28166	592	81	1983	19	1657	65	326	70	+37.3097802	-102.5437412
250	08	011	146900	21192	1162	167	2174	26	1875	105	299	100	+37.9318907	-103.0775841
251	08	013	756300	14324	1966	30	144729	121	137008	795	7721	771	+40.0949712	-105.3977104
252	08	014	664500	10197	2126	39	33202	60	31760	310	1442	318	+39.9535933	-105.0507868
253	08	015	665700	24286	1611	249	11482	275	9863	226	1619	348	+38.7345986	-106.3000246
254	08	017	187500	38306	926	69	986	90	785	82	201	62	+38.8356456	-102.6017914
255	08	019	608500	38436	1467	159	5814	23	4677	271	1137	271	+39.6894025	-105.6707833
256	08	021	193400	16527	748	84	4106	25	3164	154	942	155	+37.2134065	-106.1764473
257	08	023	184700	34905	927	134	2433	24	1651	111	782	106	+37.2775474	-105.4289399
258	08	025	116200	15932	984	88	1556	33	1337	77	219	72	+38.3061801	-103.7727363
259	08	027	392100	35742	1069	313	4631	281	2672	177	1959	266	+38.1019955	-105.3735123
260	08	029	343200	13461	1121	84	15025	39	12959	333	2066	330	+38.8614231	-107.8650433
261	08	031	616000	6700	1831	17	359581	203	335428	1490	24153	1523	+39.7618502	-104.8811054
262	08	033	247600	123359	986	706	1572	129	1254	96	318	89	+37.7338227	-108.5062192
263	08	035	713600	5715	2193	33	144432	84	139960	642	4472	641	+39.3254140	-104.9259871
264	08	037	839500	59304	2019	135	33915	28	22058	525	11857	528	+39.6269919	-106.6951694
265	08	039	709800	25191	1311	307	10510	36	10004	156	506	157	+39.3151572	-104.1140759
266	08	041	461000	2893	1696	20	303482	201	290190	1184	13292	1215	+38.8273831	-104.5274718
267	08	043	324000	11504	1070	72	20605	74	17976	411	2629	397	+38.4551697	-105.4249582
268	08	045	527800	29902	1637	107	24953	61	23404	338	1549	335	+39.5993517	-107.9097802
269	08	047	573900	53130	1658	244	3746	247	3122	206	624	171	+39.8611555	-105.5288778
270	08	049	601500	55601	1493	141	17421	25	7475	450	9946	448	+40.1130652	-106.1108366
271	08	051	621800	50763	1252	260	12506	37	8494	269	4012	286	+38.6704993	-107.0568798
272	08	053	437900	78990	1171	114	1343	76	511	71	832	71	+37.8115187	-107.3839736
273	08	055	247800	67342	838	353	4783	27	3100	214	1683	212	+37.6878154	-104.9599278
274	08	057	239600	74219	1701	328	1107	85	658	77	449	79	+40.6634319	-106.3292476
275	08	059	637600	3257	1861	19	253574	276	241735	959	11839	999	+39.5795106	-105.2454620
276	08	061	161500	30828	800	87	740	78	585	70	155	57	+38.3876630	-102.7568494
277	08	063	239500	25366	973	91	3428	22	2896	136	532	135	+39.3053399	-102.6030226
278	08	065	466100	47142	1397	315	3983	260	3020	283	963	229	+39.2053405	-106.3500790
279	08	067	591500	21396	1504	91	28990	47	24378	505	4612	503	+37.2873673	-107.8397178
280	08	069	569100	7549	1716	22	164690	127	154232	780	10458	804	+40.6580933	-105.4867638
281	08	071	237600	13366	891	106	8170	33	6513	230	1657	227	+37.3188308	-104.0441103
282	08	073	246500	25165	868	96	2382	25	1971	93	411	90	+38.9937401	-103.5075545
283	08	075	245300	11810	1013	75	8741	103	8203	201	538	154	+40.7280911	-103.0904639
284	08	077	378600	6005	1182	43	69969	90	65830	622	4139	636	+39.0195240	-108.4605707
285	08	079	430500	61861	928	172	1179	82	386	61	793	93	+37.5490692	-107.0032352
286	08	081	289500	21711	1039	126	6136	19	5390	190	746	190	+40.6108644	-108.2171545
287	08	083	331400	23917	942	59	12375	34	11269	262	1106	269	+37.3380247	-108.5957864
288	08	085	388400	12255	1188	88	19758	32	18069	369	1689	362	+38.4075069	-108.2662815
289	08	087	338600	15554	1025	105	11804	50	11069	220	735	216	+40.2631590	-103.8122102
290	08	089	168900	10846	839	89	8746	23	7584	236	1162	240	+37.8841698	-103.7212597
291	08	091	739800	56060	1786	298	3531	179	2623	167	908	157	+38.1547313	-107.7884802
292	08	093	532100	37216	2161	142	14066	496	8988	358	5078	409	+39.1189141	-105.7176479
293	08	095	258200	31137	999	159	2164	169	1952	151	212	94	+40.5947117	-102.3451047
294	08	097	1139100	222109	2004	329	13412	116	9215	476	4197	530	+39.2175407	-106.9161618
295	08	099	160600	14491	808	96	5479	37	4733	179	746	176	+37.9584430	-102.3917540
296	08	101	291300	6009	1111	26	73646	113	68523	559	5123	536	+38.1627652	-104.4846683
297	08	103	274400	44715	919	84	3296	31	2805	159	491	160	+39.9726223	-108.2007155
298	08	105	239500	11591	945	141	6616	25	5133	227	1483	229	+37.4858534	-106.4531280
299	08	107	854700	64915	1917	132	17169	51	11281	362	5888	360	+40.4836638	-106.9877021
300	08	109	212600	28188	828	350	3902	19	3397	131	505	130	+38.0316514	-106.2346662
301	08	111	432500	140586	992	479	738	67	399	69	339	54	+37.7810492	-107.6702567
302	08	113	720700	194671	1149	57	6656	22	4604	219	2052	225	+38.0093190	-108.4272635
303	08	115	149000	16750	774	54	1214	84	1022	78	192	58	+40.8715679	-102.3553579
